Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
157494,0.063874553,0.389685239,1.259622569,0.828357062,-0.108208732,1.033438343,-0.264416431,0.31954552,-0.163201739,0.157694032,0.312819247,0.159510445,-0.004187737,0.059653133,0.991690728,-0.437695543,0.083359429,1.223178825,2.945979901,0.346218436,0.289471004,0.99154231,-0.130143687,0.363557292,-0.715818529,0.951479104,0.192853575,0.179328828,28.75
155288,0.189727867,-3.389540139,-1.93483047,0.593070766,-0.310143575,2.111224241,0.396798176,0.383007572,0.827281898,-0.432787456,0.719322833,1.00699121,-0.282058407,0.380588898,0.147765322,-0.24114562,0.112277637,-1.204097022,-0.527651818,1.525508959,0.178944942,-1.305701928,-0.267148101,-0.932573051,-1.100856295,0.133896364,-0.172111115,0.084995705,888.61
31029,-4.239697545,2.719970505,0.080645857,-0.260728291,-1.127608908,-0.356352636,0.010576631,0.339323501,1.595508308,1.919936239,-1.430729067,-0.768672983,-1.723495129,-0.279105248,0.045990457,-0.364806975,0.124366644,-0.331790489,0.615144616,-0.270131718,-0.215800585,-0.526524123,-0.189470049,-0.000286475,0.223106389,-0.070679887,-3.975735197,-1.796222385,13.92
141521,1.642553682,-0.06775083,-0.853478327,3.999156486,0.329187273,0.518731833,0.211837997,0.051751477,-0.647546436,1.426959125,-0.401795372,0.392711893,-0.66121782,0.113509668,-3.015716979,0.325363598,-0.53026592,-0.061078049,-0.712166887,-0.079215141,0.161733992,0.439325822,-0.149252133,-0.320311945,0.262189758,0.178509341,-0.057448394,-0.049253218,131.99
165842,2.090906678,0.029476545,-2.205431873,-0.14393492,0.670140496,-1.123926548,0.623794859,-0.351002598,0.016145524,0.198986496,0.990860926,0.609000541,-0.751662029,1.115581974,-0.223799608,-0.405083734,-0.479626291,0.04157275,0.395268405,-0.235545226,0.191537052,0.591622268,-0.009908586,0.806597201,0.402023582,0.186132526,-0.099102743,-0.082262273,6.78
122612,1.664794904,-0.687378952,-1.058013575,0.154567996,-0.226739516,-0.53168934,0.156520143,-0.164715327,0.165151719,0.138135279,1.078182457,1.353635441,0.869860278,0.408718669,0.159756908,0.650942373,-0.922752098,-0.352812781,0.296798612,0.23897497,-0.302578725,-1.293919425,0.335906803,-0.416733125,-0.765644943,0.00446182,-0.098557862,-0.02842411,188.21
159724,2.081038515,-1.0659254,-2.139389012,-1.208732143,1.575862094,3.672579129,-1.238063238,0.892891435,-0.370078992,0.902764096,-0.332731176,0.053068856,0.189476404,0.117320852,0.54968376,-1.458989739,-0.265296486,0.908880446,-1.066756323,-0.506355561,-0.345271017,-0.516391723,0.310171756,0.685259347,-0.27984242,0.282345851,0.007167823,-0.05047588,26
50675,1.105612219,0.693120595,0.764376577,3.512190879,0.26082087,0.405926118,0.08959689,-0.0090945,-1.290958579,1.135330528,-1.237021469,0.031660344,1.362773055,-0.114562367,0.237931222,1.431549909,-1.220481613,-0.115535451,-1.283951215,0.019933446,-0.114932306,-0.467328389,-0.064613689,-0.47982945,0.404457579,-0.091391638,0.000424998,0.035183614,46.98
154280,2.038731084,-0.090427832,-1.106338863,0.400310025,-0.084369603,-1.084090021,0.184994795,-0.309682331,0.537251717,0.058924407,-0.746334323,0.458146919,0.116390213,0.270788642,0.089205349,-0.143867668,-0.259405893,-0.938654632,0.097247745,-0.204937319,-0.281355865,-0.690371301,0.328738528,-0.082109781,-0.306363224,0.204202474,-0.069302886,-0.059345519,11.99
69710,0.056643688,-1.438570195,-0.262878924,1.38016354,-0.115106521,1.025691565,0.588964267,0.226136536,-0.11971083,-0.41192846,0.860791862,0.56766707,-0.348639702,0.74067708,2.081687049,-1.213378593,0.933720398,-2.226420394,-2.124103534,0.719346546,0.324859561,-0.063914167,-0.279275186,-0.631381928,0.011306476,-0.427239796,-0.013643503,0.098675213,510.4
64548,-1.483771998,1.615704944,1.427793073,-0.453165513,0.059369418,-0.07255692,0.58832254,-0.941105735,0.542792967,1.556410954,1.864815053,0.389169085,-0.785720244,-0.173542944,0.555965237,-0.170226022,-0.4372978,-0.404721348,-0.255846224,0.51218342,0.393981626,-0.675653325,0.106393805,0.159246977,-0.171832067,0.040768813,0.403719501,-0.073736228,8.93
56580,0.725908079,-1.675015331,0.29565778,-0.296193856,-1.755829298,-0.856747771,-0.276630019,-0.160352163,-0.530790943,0.537156551,-0.705008792,-0.905599545,-1.117860016,0.378879091,1.308172865,-0.889160062,-0.038258566,1.089872524,-0.852669927,0.114794742,-0.422158924,-1.615977327,-0.018687439,0.340099674,-0.289054282,0.7151884,-0.115589944,0.073807302,342.58
164745,0.078030321,0.800389508,-0.662419864,-0.251726692,0.363074221,-0.734273585,0.051029487,-3.107765514,-0.626171012,-1.094062303,-0.918725902,0.905707063,0.495169488,0.697596028,-0.9385055,-0.363325108,-0.113604841,-0.903109081,-0.341953943,0.647337595,-1.227153045,0.51409359,-0.198601641,0.130749245,0.729326096,0.554201911,0.039353757,0.281942531,69.99
34461,-0.538035645,0.517318865,2.090892955,1.108660894,-0.389428361,-0.346538131,0.194324948,0.095153676,-0.156599099,-0.284205989,-0.873468335,-0.742294954,-1.455007913,0.193636045,0.833792004,-0.862116002,0.76473019,-0.176810178,2.117270518,0.190129324,-0.230463539,-0.637022098,-0.078397052,0.395377438,-0.021452779,0.575073696,0.041181234,0.080785627,23.74
148247,-0.794587105,1.027433129,1.551804581,-1.199749639,0.912406482,-0.948173936,1.757642993,-0.683139328,-0.155824693,-0.386449361,-0.62832408,0.146944678,0.463655016,-0.481732025,-0.544232854,-0.152657406,-0.749960534,-0.929907003,-0.425837498,0.158573867,-0.420677937,-0.78800131,-0.409788888,0.06060792,0.588096854,0.180223861,-0.26478871,-0.35530749,14.28
138550,-0.6190857,-0.531721565,0.611314235,-1.670695081,-0.643409408,-0.615332013,0.830624979,-0.314940381,-0.882277827,-0.054159653,-0.82849142,-0.449320627,0.467365438,-0.523821352,-0.682206855,0.938130136,0.186712124,-1.934227789,0.663158846,-0.022914986,-0.168044369,-0.471160298,0.309582952,-0.037175061,-1.066147512,-0.791456537,0.212456407,0.151573479,216.28
49203,-0.345016545,1.231326427,0.689624549,-0.296133426,0.758060029,-0.156774485,0.724112467,-0.061527244,-0.343267309,-0.420931423,-1.330891051,-0.152213091,1.096955936,-0.694722971,0.921820265,0.742543412,-0.548548985,0.21958879,0.434051101,0.189639597,-0.329471898,-0.887573869,-0.197625662,-1.048723972,0.037382207,0.143062622,0.111235135,0.083623938,1.29
120017,-4.022606478,0.794087068,1.040360958,-2.742169733,-0.11165839,0.761938104,-1.220115461,-5.165703913,0.966750609,2.601603541,0.981110584,-0.726628161,-1.492767138,-1.085664582,-0.682767786,1.493477429,-0.317106411,-0.897749467,0.263333832,-0.929397708,3.982031641,-1.874914565,0.454089267,0.630553189,0.697226295,-0.504735018,0.140945149,0.283305475,35
52832,1.079030564,-1.227377758,1.091921239,-0.39564955,-1.250248534,1.130259321,-1.343202783,0.457686715,0.012876342,0.369501104,1.179921393,0.95565434,0.404198147,-0.957111395,-1.509294446,0.018946952,1.174613739,-1.866959114,0.497957514,0.151291963,0.378414293,1.319725977,-0.202874261,-0.170522379,0.495682054,0.092767012,0.080046284,0.014085443,74.78
124238,-4.033143255,2.191331759,-2.779101973,-0.451515925,-1.964693592,-1.150655477,-1.083959574,2.510175272,-0.093609811,0.039868183,-0.021252403,1.310522284,-0.747153731,2.058627245,-1.00022574,0.79984985,0.42815738,-0.100314044,-0.069861875,-0.243322261,-0.153888911,-0.764131391,0.228569788,-0.00644912,-0.232440777,0.135925776,-0.058034103,-0.055892087,44.99
157604,-0.998429934,1.125539397,1.890011807,-0.965527353,0.574025604,-1.441034096,1.814904384,-0.876799602,-0.031011056,-0.540575376,0.196033477,0.676775916,0.516653424,-0.448430749,-0.498824732,-0.682244766,-0.469444762,-1.052043663,-0.686172636,-0.064236429,-0.245932703,-0.461791807,-0.3563015,0.920957143,0.573482162,-0.701009541,-0.72692676,-0.378554856,9.99
118293,-0.976590651,1.03905219,-0.066403591,-1.600505244,1.626906556,-0.608218709,1.37892137,-0.327628883,0.387396709,-0.780764745,-1.512044601,-1.149965978,-1.29400925,-1.161567833,-0.62769407,0.845471028,-0.314164996,-0.002854956,-0.965594715,-0.190519406,-0.433725887,-1.112299859,-0.131159033,-0.10943471,-0.004905671,-0.026224803,-0.267632741,-0.036964794,3.59
80280,-0.687242315,1.396645372,0.933082283,0.102535865,-0.265971079,-1.024378754,0.390693097,0.333311197,-0.617048551,-0.748565674,-0.299537077,0.264815681,0.526509046,-0.181844632,0.816938913,0.4888107,0.157072746,-0.141556656,-0.099463993,0.036364624,-0.214758556,-0.672110662,0.046857264,0.342309969,-0.122925329,0.073000853,0.121072573,0.036413242,8.22
142223,-4.47020364,-0.941075045,-2.551845469,1.055440655,-0.778473625,-0.71678823,-0.733931353,1.216457272,-1.26869828,-0.710925101,-1.30567803,-0.091297772,0.762835075,-1.31234779,0.366630842,-0.071903606,1.895724335,2.602709221,-1.074924518,-1.790600141,-0.396599005,-0.47745767,-0.085932307,0.521706106,-0.788512804,-0.811000455,-0.574915371,-0.262381314,78
36567,1.298522869,0.365975722,-0.044970995,0.921885335,0.168244199,-0.484883847,0.233780201,-0.206205724,-0.024223165,0.002727652,-1.070057336,0.138313787,0.568433413,0.255379799,0.933822664,0.273135128,-0.754346287,0.069359672,-0.058804996,-0.085005165,-0.021072914,0.006822802,-0.210567222,-0.444080355,0.81252689,-0.277491161,0.015024432,0.013090964,6.92
131221,2.160925814,-0.888129773,-1.594590515,-1.167853506,-0.201439674,-0.359442517,-0.539379348,-0.10215786,-0.667898,1.033582631,0.671558985,-0.34446991,-0.279565058,0.267571461,-0.163281161,1.221987597,-0.199183596,-0.626810968,0.770753649,0.032064594,0.482394034,1.272488488,-0.046108226,0.340077642,0.189346233,0.049921494,-0.049485134,-0.068936865,37.85
116703,-0.536965742,0.919048656,0.716631873,-0.497981778,0.518426739,-0.664707078,0.883978358,-0.05455394,-0.461876037,-0.123816209,0.89195435,0.630347463,-0.349689448,0.409896688,-0.701232943,-0.228781458,-0.336312501,-0.252985471,0.719536748,0.028973614,-0.176523726,-0.404862698,-0.049368659,0.019392039,-0.492524674,0.225915419,0.208776002,0.197673625,7.57
46768,1.143354249,0.291174135,-0.163707072,0.901840255,0.393651342,0.054250111,0.240273504,0.115047032,-0.425369625,0.148416168,1.652450629,0.652823907,-0.930346999,0.97770264,0.576055921,-0.573652614,0.045499848,-0.682386789,-0.682658308,-0.256687718,0.10240079,0.344357447,-0.088997767,-0.287814074,0.647350071,-0.252056912,0.015929883,-0.007480711,3.02
42088,1.163595008,0.15065541,0.799079659,1.57283231,-0.688155723,-0.662769373,-0.059366229,-0.095559297,0.509763292,-0.117132814,-0.584261102,0.536766105,-0.247713692,-0.103821025,-0.472430785,-0.498849741,0.127396775,-0.491088092,-0.161603995,-0.17109613,-0.03810756,0.132745607,-0.082723016,0.730620786,0.690984296,-0.291549711,0.037421877,0.025532173,9.99
118426,0.138217101,0.789708924,0.457671724,-0.617105606,0.550959742,-1.096429197,1.220649983,-0.431689766,0.090802243,-0.201348302,-0.815655556,0.088936522,0.0550859,-0.110218453,-0.381797254,-0.182177644,-0.513160363,-0.787665631,-0.08397548,0.037438706,-0.31064261,-0.537391705,0.031389957,0.041532617,-0.514388182,0.109034849,0.084037651,-0.125376034,3.87
